"","p_distribution"
"994",29.468
"995",26.296
"996",28.282
"997",27.521
"998",30.018
"999",28.427
"1000",25.984
"1001",29.452
"1002",24.422
"1003",30.141
"1004",26.332
"1005",28.65
"1006",32.18
"1007",27.696
"1008",26.971
"1009",28.563
"1010",28.419
"1011",32.147
"1012",25.72
"1013",30.174
"1014",26.617
"1015",25.483
"1016",19.48
"1017",26.314
"1018",29.164
"1019",30.336
"1020",27.433
"1021",28.138
"1022",29.587
"1023",23.307
"1024",30.354
"1025",25.628
"1026",28.07
"1027",25.009
"1028",26.51
"1029",26.859
"1030",23.515
"1031",28.963
"1032",27.301
"1033",24.426
"1034",28.449
"1035",30.539
"1036",29.521
"1037",29.581
"1038",30.523
"1039",26.919
"1040",27.046
"1041",27.318
"1042",25.396
"1043",25.436
"1044",28.144
"1045",28.837
"1046",32.985
"1047",30.661
"1048",29.2
"1049",29.919
"1050",30.297
"1051",27.744
"1052",31.589
"1053",28.647
"1054",25.756
"1055",28.105
"1056",26.43
"1057",27.019
"1058",25.903
"1059",29.89
"1060",28.3
"1061",27.905
"1062",28.204
"1063",25.26
"1064",28.49
"1065",28.002
"1066",29.703
"1067",29.433
"1068",22.147
"1069",27.828
"1070",29.023
"1071",26.806
"1072",24.557
"1073",28.747
"1074",28.507
"1075",26.577
"1076",32.01
"1077",25.94
"1078",27.874
"1079",26.532
"1080",29.765
"1081",28.573
"1082",29.532
"1083",27.111
"1084",23.911
"1085",27.854
"1086",27.651
"1087",24.51
"1088",26.441
"1089",30.793
"1090",28.084
"1091",26.345
"1092",29.326
"1093",26.629
"1094",25.935
"1095",29.669
"1096",24.394
"1097",20.869
"1098",30.413
"1099",26.626
"1100",26.117
"1101",25.061
"1102",23.75
"1103",20.739
"1104",29.096
"1105",26.811
"1106",27.244
"1107",28.812
"1108",29.244
"1109",28.779
"1110",31.26
"1111",32.291
"1112",30.128
"1113",30.244
"1114",29.383
"1115",26.43
"1116",28.53
"1117",28.291
"1118",31.935
"1119",26.795
"1120",27.828
"1121",30.073
"1122",27.553
"1123",30.694
"1124",31.795
"1125",27.033
"1126",27.684
"1127",28.926
"1128",27.721
"1129",29.876
"1130",27.394
"1131",28.287
"1132",28.725
"1133",27.909
"1134",30.79
"1135",26.928
"1136",29.641
"1137",30.884
"1138",27.693
"1139",23.498
"1140",26.956
"1141",27.34
"1142",25.108
"1143",28.389
"1144",26.48
"1145",26.929
"1146",29.931
"1147",29.698
"1148",27.829
"1149",26.748
"1150",24.33
"1151",29.017
"1152",24.774
"1153",29.025
"1154",28.607
"1155",29.476
"1156",28.836
"1157",28.966
"1158",25.11
"1159",30.623
"1160",30.275
"1161",24.644
"1162",26.164
"1163",29.251
"1164",28.812
"1165",27.494
"1166",29.776
"1167",26.053
"1168",29.322
"1169",26.559
"1170",29.886
"1171",33.923
"1172",29.44
"1173",27.275
"1174",31.623
"1175",22.424
"1176",28.396
"1177",31.431
"1178",27.716
"1179",29.666
"1180",33.152
"1181",23.256
"1182",29.674
"1183",28.171
"1184",25.851
"1185",25.576
"1186",28.903
"1187",29.852
"1188",30.332
"1189",24.392
"1190",25.48
"1191",29.391
"1192",29.688
"1193",29.276
"1194",25.83
"1195",25.849
"1196",31.301
"1197",28.805
"1198",25.596
"1199",31.763
"1200",20.379
"1201",29.748
"1202",21.372
"1203",29.89
"1204",26.084
"1205",29.089
"1206",31.162
"1207",27.541
"1208",27.629
"1209",29.337
"1210",24.034
"1211",30.186
"1212",28.288
"1213",27.439
"1214",26.127
"1215",27.293
"1216",26.215
"1217",26.308
"1218",21.845
"1219",29.51
"1220",29.765
"1221",30.342
"1222",27.086
"1223",27.662
"1224",26.616
"1225",28.452
"1226",30.944
"1227",29.426
"1228",25.582
"1229",30.916
"1230",29.32
"1231",29.502
"1232",25.38
"1233",29.74
"1234",27.896
"1235",26.87
"1236",31.294
"1237",31.293
"1238",30.061
"1239",27.254
"1240",24.805
"1241",31.242
"1242",28.118
"1243",30.542
"1244",28.527
"1245",29.935
"1246",29.357
"1247",30.32
"1248",28.177
"1249",29.707
"1250",28.496
"1251",26.611
"1252",26.882
"1253",27.06
"1254",28.78
"1255",26.168
"1256",27.595
"1257",25.853
"1258",29.815
"1259",28.565
"1260",29.175
"1261",27.952
"1262",28.705
"1263",32.271
"1264",25.989
"1265",27.592
"1266",27.287
"1267",27.174
"1268",28.677
"1269",24.268
"1270",27.185
"1271",30.03
"1272",25.557
"1273",29.8
"1274",24.605
"1275",30.747
"1276",29.477
"1277",29.582
"1278",28.831
"1279",28.984
"1280",27.146
"1281",29.062
"1282",26.204
"1283",28.892
"1284",29.613
"1285",28.326
"1286",27.932
"1287",27.365
"1288",28.106
"1289",27.794
"1290",29.908
"1291",30.638
"1292",26.684
"1293",29.656
"1294",29.878
"1295",30
"1296",24.576
"1297",28.955
"1298",27.285
"1299",26.848
"1300",30.296
"1301",30.565
"1302",27.923
"1303",22.073
"1304",30.483
"1305",28.273
"1306",30.026
"1307",29.277
"1308",30.482
"1309",25.532
"1310",28.957
"1311",28.893
"1312",27.248
"1313",25.13
"1314",32.685
"1315",26.512
"1316",27.994
"1317",29.564
"1318",30.586
"1319",27.775
"1320",28.241
"1321",28.93
"1322",27.423
"1323",29.037
"1324",27.719
"1325",28.061
"1326",24.369
"1327",26.998
"1328",26.855
"1329",28.846
"1330",26.121
"1331",25.761
"1332",28.627
"1333",29.82
"1334",27.794
"1335",24.754
"1336",30.179
"1337",26.462
"1338",27.252
"1339",27.854
"1340",25.527
"1341",27.621
"1342",27.297
"1343",28.961
"1344",28.7
"1345",26.783
"1346",25.304
"1347",26.307
"1348",25.929
"1349",27.726
"1350",28.366
"1351",25.478
"1352",29.747
"1353",29.664
"1354",28.78
"1355",29.008
"1356",28.73
"1357",25.639
"1358",25.799
"1359",30.325
"1360",26.063
"1361",24.438
"1362",23.521
"1363",29.643
"1364",25.109
"1365",28.331
"1366",32.361
"1367",27.219
"1368",28.965
"1369",27.188
"1370",28.882
"1371",30.648
"1372",30.695
"1373",33.083
"1374",29.523
"1375",28.15
"1376",30.103
"1377",28.915
"1378",22.11
"1379",20.896
"1380",28.23
"1381",29.858
"1382",28.975
"1383",26.903
"1384",27.42
"1385",31.48
"1386",27.213
"1387",28.446
"1388",26.962
"1389",26.377
"1390",29.566
"1391",27.152
"1392",31.628
"1393",28.727
"1394",27.297
"1395",27.307
"1396",27.929
"1397",29.827
"1398",25.984
"1399",29.568
"1400",28.066
"1401",23.973
"1402",27.476
"1403",29.796
"1404",28.991
"1405",30.908
"1406",30.613
"1407",29.606
"1408",29.806
"1409",29.592
"1410",32.471
"1411",27.08
"1412",26.689
"1413",26.616
"1414",25.172
"1415",29.085
"1416",26.761
"1417",27.572
"1418",28.886
"1419",27.42
"1420",28.17
"1421",29.133
"1422",26.319
"1423",28.601
"1424",27.889
"1425",30.842
"1426",29.249
"1427",29.559
"1428",31.613
"1429",28.529
"1430",29.225
"1431",28.579
"1432",27.977
"1433",28.313
"1434",27.845
"1435",28.282
"1436",29.229
"1437",28.567
"1438",26.553
"1439",30.04
"1440",26.926
"1441",30.151
"1442",26.354
"1443",30.325
"1444",26.269
"1445",28.443
"1446",27.483
"1447",25.272
"1448",29.567
"1449",27.29
"1450",29.729
"1451",30.78
"1452",22.576
"1453",27.544
"1454",28.403
"1455",25.719
"1456",25.595
"1457",31.001
"1458",24.594
"1459",32.041
"1460",28.202
"1461",26.578
"1462",25.017
"1463",25.739
"1464",27.49
"1465",27.35
"1466",29.223
"1467",27.675
"1468",20.792
"1469",27.64
"1470",26.734
"1471",26.481
"1472",30.803
"1473",28.789
"1474",31.17
"1475",27.905
"1476",29.672
"1477",26.372
"1478",26.045
"1479",30.192
"1480",25.797
"1481",29.884
"1482",25.689
"1483",30.704
"1484",29.847
"1485",28.324
"1486",30.875
"1487",23.866
"1488",30.341
"1489",28.512
"1490",28.915
"1491",24.734
"1492",26.423
"1493",26.81
"1494",27.688
"1495",25.408
"1496",28.344
"1497",27.629
"1498",29.267
"1499",30.022
"1500",29.307
"1501",27.812
"1502",26.626
"1503",29.656
"1504",28.976
"1505",29.446
"1506",30.123
"1507",27.806
"1508",31.394
"1509",28.278
"1510",27.612
"1511",26.598
"1512",30.643
"1513",31.003
"1514",32.595
"1515",28.333
"1516",24.691
"1517",27.404
"1518",26.894
"1519",27.218
"1520",27.605
"1521",29.448
"1522",25.244
"1523",27.273
"1524",25.859
"1525",31.974
"1526",28.997
"1527",27.26
"1528",32.268
"1529",25.241
"1530",29.457
"1531",29.42
"1532",31.602
"1533",26.944
"1534",23.742
"1535",26.205
"1536",26.699
"1537",31.541
"1538",29.924
"1539",20.756
"1540",26.214
"1541",27.118
"1542",30.046
"1543",26.724
"1544",24.968
"1545",30.655
"1546",27.05
"1547",28.257
"1548",24.594
"1549",29.911
"1550",28.483
"1551",27.288
"1552",27.687
"1553",29.02
"1554",23.707
"1555",27.619
"1556",26.452
"1557",25.8
"1558",26.984
"1559",27.587
"1560",31.18
"1561",30.659
"1562",31.77
"1563",24.562
"1564",25.367
"1565",28.645
"1566",27.056
"1567",25.148
"1568",27.672
"1569",25.025
"1570",28.228
"1571",28.093
"1572",25.524
"1573",31.617
"1574",27.142
"1575",29.658
"1576",28.941
"1577",29.546
"1578",27.818
"1579",26.041
"1580",27.487
"1581",29.613
"1582",31.4
"1583",30.764
"1584",27.651
"1585",25.796
"1586",31.026
"1587",25.817
"1588",26.917
"1589",28.32
"1590",28.523
"1591",32.267
"1592",25.903
"1593",28.257
"1594",27.731
"1595",27.603
"1596",26.617
"1597",28.42
"1598",30.576
"1599",29.021
"1600",30.254
"1601",32.404
"1602",32.85
"1603",28.125
"1604",25.769
"1605",30.37
"1606",28.5
"1607",29.685
"1608",27.044
"1609",32.067
"1610",25.97
"1611",30.009
"1612",28.952
"1613",31.737
"1614",28.187
"1615",31.816
"1616",27.266
"1617",28.247
"1618",29.542
"1619",25.072
"1620",25.323
"1621",26.451
"1622",27.34
"1623",26.54
"1624",29.431
"1625",29.25
"1626",29.271
"1627",30.519
"1628",26.745
"1629",28.45
"1630",28.71
"1631",27.54
"1632",26.445
"1633",25.805
"1634",31.178
"1635",28.149
"1636",25.503
"1637",27.756
"1638",29.769
"1639",26.946
"1640",27.378
"1641",23.883
"1642",25.088
"1643",29.311
"1644",26.087
"1645",32.016
"1646",26.683
"1647",27.376
"1648",26.523
"1649",28.023
"1650",26.472
"1651",32.161
"1652",25.747
"1653",30.364
"1654",30.569
"1655",29.935
"1656",26.224
"1657",28.976
"1658",28.214
"1659",28.838
"1660",28.036
"1661",30.306
"1662",27.304
"1663",29.57
"1664",23.803
"1665",27.454
"1666",28.098
"1667",23.587
"1668",29.422
"1669",27.723
"1670",28.349
"1671",27.066
"1672",28.447
"1673",30.462
"1674",32.706
"1675",29.149
"1676",29.311
"1677",31.092
"1678",32.84
"1679",25.264
"1680",29.841
"1681",27.688
"1682",29.718
"1683",26.133
"1684",23.58
"1685",31.174
"1686",27.759
"1687",25.765
"1688",27.516
"1689",26.017
"1690",25.088
"1691",27.981
"1692",31.897
"1693",29.72
"1694",30.797
"1695",23.299
"1696",21.978
"1697",26.286
"1698",28.338
"1699",21.218
"1700",29.174
"1701",25.517
"1702",28.929
"1703",27.418
"1704",29.372
"1705",26.678
"1706",25.614
"1707",25.142
"1708",26.637
"1709",28.709
"1710",27.732
"1711",30.819
"1712",29.629
"1713",31.738
"1714",28.922
"1715",23.458
"1716",24.854
"1717",27.102
"1718",27.081
"1719",27.537
"1720",29.334
"1721",31.072
"1722",28.774
"1723",24.962
"1724",27.514
"1725",25.211
"1726",23.62
"1727",28.08
"1728",29.683
"1729",28.96
"1730",26.472
"1731",28.294
"1732",30.648
"1733",29.878
"1734",27.612
"1735",25.132
"1736",28.63
"1737",26.588
"1738",25.596
"1739",29.539
"1740",26.09
"1741",27.85
"1742",24.59
"1743",30.589
"1744",28.034
"1745",30.101
"1746",28.564
"1747",24.335
"1748",26.683
"1749",29.091
"1750",31.264
"1751",27.612
"1752",29.413
"1753",27.971
"1754",28.211
"1755",27.682
"1756",27.369
"1757",31.145
"1758",29.498
"1759",30.124
"1760",27.742
"1761",24.146
"1762",28.793
"1763",27.833
"1764",28.319
"1765",31.137
"1766",26.571
"1767",29.27
"1768",27.607
"1769",27.756
"1770",31.768
"1771",27.962
"1772",29.554
"1773",29.284
"1774",26.671
"1775",30.03
"1776",28.521
"1777",28.762
"1778",30.602
"1779",29.561
"1780",25.984
"1781",27.312
"1782",25.353
"1783",30.154
"1784",25.842
"1785",24.282
"1786",28.829
"1787",27.175
"1788",29.278
"1789",28.192
"1790",23.838
"1791",26.819
"1792",25.548
"1793",30.211
"1794",30.914
"1795",29.032
"1796",25.455
"1797",28.762
"1798",27.154
"1799",27.134
"1800",29.396
"1801",26.377
"1802",24.851
"1803",32.517
"1804",31.111
"1805",26.901
"1806",24.478
"1807",25.034
"1808",28.719
"1809",28.855
"1810",27.447
"1811",26.861
"1812",28.801
"1813",29.087
"1814",27.947
"1815",27.208
"1816",26.247
"1817",21.303
"1818",27.746
"1819",29.355
"1820",28.564
"1821",33.407
"1822",30.293
"1823",32.741
"1824",30.848
"1825",29.466
"1826",31.295
"1827",30.538
"1828",29.398
"1829",28.566
"1830",30.124
"1831",28.646
"1832",26.931
"1833",25.027
"1834",24.19
"1835",30.738
"1836",27.187
"1837",29.457
"1838",30.297
"1839",31.209
"1840",29.451
"1841",28.173
"1842",34.505
"1843",31.841
"1844",26.517
"1845",28.565
"1846",29.182
"1847",29.09
"1848",25.793
"1849",26.865
"1850",28.985
"1851",23.578
"1852",26.044
"1853",25.587
"1854",28.503
"1855",26.971
"1856",25.433
"1857",27.042
"1858",24.441
"1859",26.816
"1860",26.653
"1861",26.925
"1862",23.595
"1863",25.82
"1864",26.684
"1865",28.122
"1866",25.069
"1867",25.122
"1868",29.452
"1869",27.733
"1870",27.618
"1871",26.527
"1872",27.028
"1873",29.439
