"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year","game","curling","gymnastics","baseball","martial_arts","frisbee","table_tennis","basketball","football","evening","morning","west coast","night_owl"
100,54.74,"east coast","morning",0.94,0.51,9,8,"night owl","gymnastics",5,2,1,0,1,0,0,0,0,0,0,0,1,0,1
101,28.96,"east coast","morning",0.58,0.14,9,4,"night owl","baseball",4,1,1,0,0,1,0,0,0,0,0,0,1,0,1
102,47.44,"east coast","morning",0.69,0.53,8,4,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,0,1,0,1
103,27.56,"east coast","morning",0.75,0.49,5,3,"early bird","curling",4,3,1,1,0,0,0,0,0,0,0,0,1,0,0
104,30.99,"east coast","morning",0.43,0.5,9,9,"night owl","table tennis",2,4,1,0,0,0,0,0,1,0,0,0,1,0,1
105,0,"east coast","morning",0.28,0.37,1,3,"night owl","baseball",5,3,1,0,0,1,0,0,0,0,0,0,1,0,1
106,20.03,"east coast","morning",0.46,0.35,3,0,"night owl","frisbee",3,3,1,0,0,0,0,1,0,0,0,0,1,0,1
107,0,"east coast","morning",0.24,0.8,3,10,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,0,1,0,1
108,59.71,"east coast","morning",0.92,0.83,8,10,"night owl","frisbee",4,3,1,0,0,0,0,1,0,0,0,0,1,0,1
109,0,"east coast","morning",0.23,0.44,2,4,"night owl","baseball",5,2,1,0,0,1,0,0,0,0,0,0,1,0,1
110,0,"east coast","morning",0.06,0.01,5,2,"night owl","baseball",3,2,1,0,0,1,0,0,0,0,0,0,1,0,1
111,42.48,"east coast","evening",0.36,0.5,6,6,"night owl","table tennis",3,2,1,0,0,0,0,0,1,0,0,1,0,0,1
112,21.45,"east coast","evening",0.11,0.28,3,3,"night owl","table tennis",2,2,1,0,0,0,0,0,1,0,0,1,0,0,1
113,50.16,"east coast","evening",0.96,0.31,9,8,"night owl","gymnastics",5,2,1,0,1,0,0,0,0,0,0,1,0,0,1
114,39.46,"east coast","evening",0.24,0.39,4,5,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
115,20.05,"east coast","evening",0.11,0.2,1,5,"early bird","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,0
116,9.7,"east coast","evening",0.13,0.14,4,1,"night owl","football",2,3,1,0,0,0,0,0,0,0,1,1,0,0,1
117,25.65,"east coast","evening",0.11,0.2,2,1,"night owl","martial arts",3,1,1,0,0,0,1,0,0,0,0,1,0,0,1
118,55,"east coast","evening",0.14,1,0,8,"night owl","basketball",2,4,1,0,0,0,0,0,0,1,0,1,0,0,1
119,52.43,"east coast","evening",0.84,0.5,6,4,"night owl","baseball",5,3,1,0,0,1,0,0,0,0,0,1,0,0,1
120,28.24,"east coast","evening",0.07,0.59,0,3,"night owl","table tennis",4,2,1,0,0,0,0,0,1,0,0,1,0,0,1
121,24.88,"east coast","evening",0.43,0.74,4,7,"early bird","football",3,4,1,0,0,0,0,0,0,0,1,1,0,0,0
122,33.89,"east coast","evening",0.48,0.56,3,3,"night owl","frisbee",4,3,1,0,0,0,0,1,0,0,0,1,0,0,1
123,36.15,"east coast","evening",0.11,0.82,1,2,"night owl","basketball",5,1,1,0,0,0,0,0,0,1,0,1,0,0,1
124,42.67,"east coast","evening",0.8,0.08,7,5,"night owl","gymnastics",5,1,1,0,1,0,0,0,0,0,0,1,0,0,1
125,45.87,"east coast","evening",0.66,0.63,2,8,"night owl","table tennis",6,2,1,0,0,0,0,0,1,0,0,1,0,0,1
126,63.89,"east coast","evening",0.7,0.97,5,10,"early bird","basketball",3,4,1,0,0,0,0,0,0,1,0,1,0,0,0
127,49.07,"east coast","evening",0.23,0.14,6,7,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
128,31.55,"east coast","evening",0.31,0.48,2,3,"night owl","curling",3,3,1,1,0,0,0,0,0,0,0,1,0,0,1
129,91.81,"east coast","evening",1,0.99,9,12,"night owl","martial arts",8,3,1,0,0,0,1,0,0,0,0,1,0,0,1
130,36.16,"east coast","evening",0.11,0.48,1,2,"night owl","curling",6,1,1,1,0,0,0,0,0,0,0,1,0,0,1
131,26.09,"east coast","noon",0.11,0.61,4,9,"night owl","basketball",3,3,1,0,0,0,0,0,0,1,0,0,0,0,1
132,56.86,"east coast","noon",0.85,0.59,9,5,"night owl","frisbee",2,3,1,0,0,0,0,1,0,0,0,0,0,0,1
133,65.48,"east coast","noon",0.78,0.99,4,10,"night owl","frisbee",4,4,1,0,0,0,0,1,0,0,0,0,0,0,1
134,35.82,"east coast","noon",0.09,0.19,2,7,"night owl","football",3,2,1,0,0,0,0,0,0,0,1,0,0,0,1
135,47.7,"east coast","noon",0.81,0.34,10,8,"night owl","baseball",4,2,1,0,0,1,0,0,0,0,0,0,0,0,1
136,20.92,"east coast","noon",0.14,0.8,0,8,"night owl","martial arts",7,2,1,0,0,0,1,0,0,0,0,0,0,0,1
137,54.33,"east coast","noon",0.93,0.87,7,10,"early bird","baseball",4,4,1,0,0,1,0,0,0,0,0,0,0,0,0
138,69.03,"east coast","noon",0.93,0.7,9,4,"night owl","martial arts",4,3,1,0,0,0,1,0,0,0,0,0,0,0,1
139,35.33,"east coast","noon",0.32,0.04,6,9,"night owl","baseball",5,1,1,0,0,1,0,0,0,0,0,0,0,0,1
140,47.73,"east coast","noon",0.85,0.09,9,9,"night owl","baseball",6,1,1,0,0,1,0,0,0,0,0,0,0,0,1
141,8.17,"east coast","evening",0.05,0.46,0,6,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,1,0,0,1
142,17.17,"east coast","evening",0.07,0.03,6,4,"early bird","martial arts",2,1,1,0,0,0,1,0,0,0,0,1,0,0,0
143,44.22,"east coast","evening",0.91,0.09,9,6,"early bird","baseball",3,1,1,0,0,1,0,0,0,0,0,1,0,0,0
144,76.42,"east coast","evening",0.97,0.89,10,9,"night owl","table tennis",3,4,1,0,0,0,0,0,1,0,0,1,0,0,1
145,35.03,"east coast","evening",0.35,0.32,5,10,"night owl","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,1
146,50.9,"east coast","evening",0.4,0.67,5,5,"night owl","frisbee",2,4,1,0,0,0,0,1,0,0,0,1,0,0,1
147,39.88,"east coast","evening",0.45,0.96,2,10,"night owl","table tennis",3,4,1,0,0,0,0,0,1,0,0,1,0,0,1
148,32.67,"east coast","evening",0.05,0.03,3,3,"night owl","football",3,2,1,0,0,0,0,0,0,0,1,1,0,0,1
149,15.37,"east coast","evening",0.14,0.53,3,4,"night owl","table tennis",3,1,1,0,0,0,0,0,1,0,0,1,0,0,1
150,39.67,"east coast","evening",0.35,0.54,3,10,"early bird","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,0
151,44.82,"east coast","evening",0.65,0.85,5,9,"night owl","table tennis",5,3,1,0,0,0,0,0,1,0,0,1,0,0,1
152,0,"east coast","evening",0.4,0.02,4,1,"night owl","gymnastics",5,2,1,0,1,0,0,0,0,0,0,1,0,0,1
153,11.47,"east coast","evening",0.09,0.11,2,4,"early bird","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,0
154,18.12,"east coast","evening",0.33,0.09,4,2,"night owl","curling",4,2,1,1,0,0,0,0,0,0,0,1,0,0,1
155,22.32,"east coast","evening",0.51,0.56,7,9,"early bird","table tennis",3,2,1,0,0,0,0,0,1,0,0,1,0,0,0
156,43.68,"east coast","evening",0.91,0.08,10,9,"night owl","baseball",3,3,1,0,0,1,0,0,0,0,0,1,0,0,1
157,0,"east coast","evening",0.21,0.33,3,7,"early bird","gymnastics",5,2,1,0,1,0,0,0,0,0,0,1,0,0,0
158,20.92,"east coast","evening",0.11,0.21,1,2,"night owl","martial arts",3,2,1,0,0,0,1,0,0,0,0,1,0,0,1
159,44.39,"east coast","evening",0.7,0.54,4,2,"night owl","baseball",6,3,1,0,0,1,0,0,0,0,0,1,0,0,1
160,13.2,"east coast","evening",0.6,0.59,4,1,"night owl","curling",4,2,1,1,0,0,0,0,0,0,0,1,0,0,1
161,34.2,"east coast","evening",0.3,0.56,7,3,"night owl","frisbee",2,4,1,0,0,0,0,1,0,0,0,1,0,0,1
162,55.38,"east coast","evening",0.85,0.29,10,9,"night owl","football",3,2,1,0,0,0,0,0,0,0,1,1,0,0,1
163,50.34,"east coast","evening",0.78,0.54,5,0,"night owl","frisbee",4,1,1,0,0,0,0,1,0,0,0,1,0,0,1
164,23.92,"east coast","evening",0.39,0.49,5,9,"night owl","table tennis",3,2,1,0,0,0,0,0,1,0,0,1,0,0,1
165,16.17,"east coast","evening",0.5,0.09,4,0,"night owl","curling",5,1,1,1,0,0,0,0,0,0,0,1,0,0,1
166,50.22,"east coast","evening",0.61,0.54,8,9,"night owl","gymnastics",3,4,1,0,1,0,0,0,0,0,0,1,0,0,1
167,13.78,"east coast","evening",0.24,0.35,4,6,"night owl","table tennis",3,1,1,0,0,0,0,0,1,0,0,1,0,0,1
168,22.82,"east coast","evening",0.08,0.19,4,2,"early bird","martial arts",2,3,1,0,0,0,1,0,0,0,0,1,0,0,0
169,19.99,"east coast","evening",0.15,0.25,3,5,"early bird","gymnastics",3,4,1,0,1,0,0,0,0,0,0,1,0,0,0
170,47.43,"east coast","evening",0.78,0.86,7,11,"early bird","curling",5,3,1,1,0,0,0,0,0,0,0,1,0,0,0
171,23.71,"east coast","evening",0.34,0.24,5,2,"night owl","frisbee",3,1,1,0,0,0,0,1,0,0,0,1,0,0,1
172,30.28,"east coast","evening",0.24,0.9,1,8,"night owl","martial arts",3,3,1,0,0,0,1,0,0,0,0,1,0,0,1
173,27.31,"east coast","evening",0.57,0.52,6,6,"night owl","football",3,4,1,0,0,0,0,0,0,0,1,1,0,0,1
174,22.6,"east coast","evening",0.25,0.91,1,11,"night owl","frisbee",4,2,1,0,0,0,0,1,0,0,0,1,0,0,1
175,11.06,"east coast","evening",0.46,0.11,6,1,"early bird","football",4,2,1,0,0,0,0,0,0,0,1,1,0,0,0
176,49.99,"east coast","evening",0.92,0.73,4,9,"night owl","curling",5,1,1,1,0,0,0,0,0,0,0,1,0,0,1
177,17.72,"east coast","evening",0.4,0.42,3,3,"early bird","martial arts",4,2,1,0,0,0,1,0,0,0,0,1,0,0,0
178,31.9,"east coast","evening",0.37,0.77,2,9,"night owl","curling",4,4,1,1,0,0,0,0,0,0,0,1,0,0,1
179,15.53,"east coast","evening",0.01,0.37,0,6,"night owl","table tennis",3,3,1,0,0,0,0,0,1,0,0,1,0,0,1
180,68.71,"east coast","evening",0.92,0.96,2,8,"night owl","frisbee",7,2,1,0,0,0,0,1,0,0,0,1,0,0,1
181,0,"east coast","noon",0.09,0.14,4,8,"night owl","football",2,2,1,0,0,0,0,0,0,0,1,0,0,0,1
182,35.04,"east coast","noon",0.75,0.69,6,7,"early bird","baseball",6,3,1,0,0,1,0,0,0,0,0,0,0,0,0
183,38.25,"east coast","noon",0.49,0.87,6,7,"night owl","frisbee",3,4,1,0,0,0,0,1,0,0,0,0,0,0,1
184,26.12,"east coast","noon",0.59,0.15,9,10,"night owl","football",3,3,1,0,0,0,0,0,0,0,1,0,0,0,1
185,42.62,"east coast","noon",0.68,0.4,8,9,"night owl","martial arts",3,3,1,0,0,0,1,0,0,0,0,0,0,0,1
186,0,"east coast","noon",0.18,0.09,5,4,"night owl","curling",3,3,1,1,0,0,0,0,0,0,0,0,0,0,1
187,5.12,"east coast","noon",0.02,0.72,1,3,"night owl","basketball",1,3,1,0,0,0,0,0,0,1,0,0,0,0,1
188,11.46,"east coast","noon",0.72,0.05,7,1,"night owl","curling",5,1,1,1,0,0,0,0,0,0,0,0,0,0,1
189,6.67,"east coast","noon",0.26,0.03,4,3,"night owl","baseball",5,1,1,0,0,1,0,0,0,0,0,0,0,0,1
190,40.19,"east coast","noon",0.86,0.78,6,9,"night owl","curling",6,3,1,1,0,0,0,0,0,0,0,0,0,0,1
191,42.75,"east coast","morning",0.73,0.84,1,2,"night owl","table tennis",6,3,1,0,0,0,0,0,1,0,0,0,1,0,1
192,28.65,"east coast","morning",0.39,0.96,0,7,"night owl","frisbee",6,3,1,0,0,0,0,1,0,0,0,0,1,0,1
193,22.22,"east coast","morning",0.58,0.47,7,5,"night owl","football",2,4,1,0,0,0,0,0,0,0,1,0,1,0,1
194,43.68,"east coast","morning",0.4,0.79,5,8,"early bird","table tennis",2,4,1,0,0,0,0,0,1,0,0,0,1,0,0
195,23.65,"east coast","morning",0.57,0.47,2,7,"night owl","football",5,2,1,0,0,0,0,0,0,0,1,0,1,0,1
196,50.81,"east coast","morning",0.51,0.96,4,11,"night owl","martial arts",3,4,1,0,0,0,1,0,0,0,0,0,1,0,1
197,41.96,"east coast","morning",0.61,0.9,7,12,"night owl","table tennis",4,3,1,0,0,0,0,0,1,0,0,0,1,0,1
198,27.68,"east coast","morning",0.11,0.3,2,5,"night owl","table tennis",3,2,1,0,0,0,0,0,1,0,0,0,1,0,1
199,22.9,"east coast","morning",0.72,0.08,6,0,"night owl","football",6,2,1,0,0,0,0,0,0,0,1,0,1,0,1
200,17.08,"east coast","morning",0.13,0.14,4,5,"night owl","football",2,2,1,0,0,0,0,0,0,0,1,0,1,0,1
201,73.12,"east coast","evening",0.92,0.96,8,12,"early bird","frisbee",5,4,1,0,0,0,0,1,0,0,0,1,0,0,0
202,65.97,"east coast","evening",0.88,0.62,9,8,"night owl","martial arts",4,3,1,0,0,0,1,0,0,0,0,1,0,0,1
203,42.18,"east coast","evening",0.72,0.19,8,1,"night owl","table tennis",5,1,1,0,0,0,0,0,1,0,0,1,0,0,1
204,61.84,"east coast","evening",0.82,0.87,4,1,"night owl","martial arts",4,2,1,0,0,0,1,0,0,0,0,1,0,0,1
205,27.53,"east coast","evening",0.13,0.22,5,7,"night owl","table tennis",3,2,1,0,0,0,0,0,1,0,0,1,0,0,1
206,57.18,"east coast","evening",0.93,0.14,8,5,"night owl","gymnastics",4,3,1,0,1,0,0,0,0,0,0,1,0,0,1
207,45.57,"east coast","evening",0.75,0.03,9,7,"night owl","gymnastics",6,1,1,0,1,0,0,0,0,0,0,1,0,0,1
208,16,"east coast","evening",0.24,0.2,4,10,"night owl","curling",4,1,1,1,0,0,0,0,0,0,0,1,0,0,1
209,35.05,"east coast","evening",0.5,0.51,2,2,"night owl","football",5,3,1,0,0,0,0,0,0,0,1,1,0,0,1
210,21.37,"east coast","evening",0.28,0.17,5,2,"night owl","table tennis",3,2,1,0,0,0,0,0,1,0,0,1,0,0,1
211,55.65,"east coast","morning",0.71,0.98,1,1,"night owl","basketball",3,4,1,0,0,0,0,0,0,1,0,0,1,0,1
